Google_Addworks,Link,GA,Title,GA_Remarketing,GA_Steroids,Google_Tag_Manager
0,http://www.sidestix.com/about/,1,About - SideStix,0,0,0
0,http://www.sidestix.com/testimonials/,1,Testimonials - SideStix,0,0,0
0,http://www.sidestix.com/products/accessories/,1,Crutch Accessories - SideStix,0,0,0
0,http://www.sidestix.com/products/attachments/,1,Crutch Attachments - SideStix,0,0,0
0,http://www.sidestix.com/products/forearm-crutches/,1,Forearm Crutches | Products – SideStix,0,0,0
0,http://www.sidestix.com/products/,1,"Crutches, Crutch Attachments & Acessories - SideStix",0,0,0
Title,Link,GA,GA_Remarketing,Google_Addworks,GA_Steroids,Google_Tag_Manager
SideStix Forearm Crutches,http://www.sidestix.com/,1,0,0,0,0
VA - SideStix,http://www.sidestix.com/va/,1,0,0,0,0
Forearm Crutch Rental Locations - SideStix,http://www.sidestix.com/contact/forearm-crutch-rental-locations/,1,0,0,0,0
Contact - SideStix,http://www.sidestix.com/contact/,1,0,0,0,0
Retail Locations - SideStix,http://www.sidestix.com/retail-locations/,1,0,0,0,0
Retail / Affiliate - SideStix,http://www.sidestix.com/retail-affiliate/,1,0,0,0,0
Warranty - SideStix,http://www.sidestix.com/warranty/,1,0,0,0,0
News & Events - SideStix,http://www.sidestix.com/news-events/,1,0,0,0,0
Maintenance - SideStix,http://www.sidestix.com/maintenance/,1,0,0,0,0
Insurance Coverage for Crutches - SideStix,http://www.sidestix.com/coverage-options/,1,0,0,0,0
SideStix Fit & Assembly - SideStix,http://www.sidestix.com/how-to-set-up-forearm-crutch/,1,0,0,0,0
Frequently Asked Questions - SideStix,http://www.sidestix.com/frequently-asked-questions/,1,0,0,0,0
Meet the Team - SideStix,http://www.sidestix.com/about/meet-the-team/,1,0,0,0,0
Gallery - SideStix,http://www.sidestix.com/gallery/,1,0,0,0,0
Research - SideStix,http://www.sidestix.com/ergonomic-crutch-research/,1,0,0,0,0
Media - SideStix,http://www.sidestix.com/media-kit/,1,0,0,0,0
About - SideStix,http://www.sidestix.com/about/,1,0,0,0,0
Testimonials - SideStix,http://www.sidestix.com/testimonials/,1,0,0,0,0
Crutch Accessories - SideStix,http://www.sidestix.com/products/accessories/,1,0,0,0,0
Crutch Attachments - SideStix,http://www.sidestix.com/products/attachments/,1,0,0,0,0
Forearm Crutches | Products – SideStix,http://www.sidestix.com/products/forearm-crutches/,1,0,0,0,0
"Crutches, Crutch Attachments & Acessories - SideStix",http://www.sidestix.com/products/,1,0,0,0,0
